17:14:38.654 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-bundle.properties
17:14:38.663 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
17:19:28.216 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:19:28.245 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:19:28.246 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:19:28.725 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/${external-properties}
17:19:28.736 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
17:19:28.738 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-${easyconf:companyId}.properties
17:19:28.818 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
17:19:28.821 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-setup-wizard.properties
17:19:28.830 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
17:19:28.833 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-ext.properties
17:19:28.920 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
17:19:28.922 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-bundle.properties
17:19:28.932 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
17:21:30.425 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:21:30.443 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:21:30.444 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
